assessmentId,internalTaxonId,scientificName,redlistCategory,yearPublished,assessmentDate,populationTrend,systems
1932862,189690,Quadrula intermedia,Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1933309,189694,Physa zionis,Vulnerable,2012,2012-03-05 00:00:00 UTC,Stable,Freshwater (=Inland waters)
1939134,18985,Pyrgulopsis roswellensis,Vulnerable,2012,2012-03-26 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1939293,18988,Pyrgulopsis thermalis,Critically Endangered,2012,2012-03-14 00:00:00 UTC,Stable,Freshwater (=Inland waters)
1939580,18990,Pyrgulopsis trivialis,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1939708,18991,Pyrgulopsis bernardina,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1941553,190138,Rhomboplites aurorubens,Vulnerable,2016,2015-10-10 00:00:00 UTC,Decreasing,Marine
1954826,19056,Fusconaia mitchelli,Critically Endangered,2014,2014-03-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1956551,19070,Rafetus euphraticus,Endangered,2017,2016-05-28 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)
1961657,190941,Anodonthyla emilei,Endangered,2015,2014-11-27 00:00:00 UTC,Decreasing,Terrestrial
1964135,190980,Ectopoglossus confusus,Endangered,2018,2016-07-18 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)
1964861,190987,Bufo eichwaldi,Vulnerable,2012,2011-03-15 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)
1965805,190994,Limnonectes megastomias,Vulnerable,2017,2015-09-22 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)
1965932,190997,Odorrana geminata,Vulnerable,2015,2011-08-26 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)
1966413,191005,Rhaebo andinophrynoides,Vulnerable,2018,2016-08-05 00:00:00 UTC,Decreasing,Terrestrial
1970304,191113,Atherinella ammophila,Endangered,2019,2018-11-13 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1970666,191129,Chirostoma aculeatum,Critically Endangered,2019,2018-10-16 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1970673,191130,Chirostoma chapalae,Vulnerable,2019,2018-09-28 00:00:00 UTC,Stable,Freshwater (=Inland waters)
1970680,191131,Chirostoma charari,Critically Endangered,2019,2018-02-23 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1971275,191151,Chirostoma estor,Endangered,2019,2018-02-23 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1971329,191154,Chirostoma humboldtianum,Vulnerable,2019,2018-04-03 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1971590,191163,Chirostoma lucius,Endangered,2019,2018-04-04 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
