internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
169827,Cerberus microlepis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,HOMALOPSIDAE,Cerberus,microlepis,,,,,"Boulenger, 1896","The relationship between <em>Cerberus microlepis </em>and<em> C. rynchops</em> has been reviewed, suggesting that<em> C. microlepis</em> may not warrant species status, and may best be considered as an isolated freshwater population of <em>C. rynchops </em>(Karns <em>et al.</em> 2000, Alfaro <span style=""font-style: italic;"">et al.</span> 2004)<em>. </em>The taxonomic status of diagnosable clades within <span style=""font-style: italic;"">Cerberus</span> are in the process of  reevaluation (D. Karns, J. Murphy and H.Voris pers. comm. 2009)."
169829,Varanus mabitang,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VARANIDAE,Varanus,mabitang,,,,,"Gaulke &amp; Curio, 2001",
169832,Parvoscincus sisoni,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Parvoscincus,sisoni,,,,,"Ferner, Brown &amp; Greer, 1997",
169836,Gekko ernstkelleri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Gekko,ernstkelleri,,,,,"Rösler, Siler, Brown, Demegillo &amp; Gaulke, 2006",
169845,Luperosaurus joloensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Luperosaurus,joloensis,,,,,"Taylor, 1918",
169873,Brachymeles vermis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Brachymeles,vermis,,,,,"Taylor, 1918",
169880,Gekko gigante,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Gekko,gigante,,,,,"Brown &amp; Alcala, 1978",
169887,Sphenomorphus knollmanae,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Sphenomorphus,knollmanae,,,,,"Brown, Ferner &amp; Ruedas, 1995",
169902,Tropidonophis negrosensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,NATRICIDAE,Tropidonophis,negrosensis,,,,,"(Taylor, 1917)","There is a need for further examination of many specimens currently allocated to this species (e.g., those taken on Mindanao) to better determine their correct identification (A. Diesmos pers. comm. 2007)."
169908,Luperosaurus macgregori,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Luperosaurus,macgregori,,,,,"Stejneger, 1907",This taxon might be a complex of three species; one from each of the islands from which it has been recorded.
16997,Philoria frosti,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,LIMNODYNASTIDAE,Philoria,frosti,,,,,"Spencer, 1901",
170314,Makaira nigricans,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,ISTIOPHORIDAE,Makaira,nigricans,,,,,"Lacepède, 1802","<p>Blue Marlin (<span style=""font-style: italic;"">Makaira nigricans</span>) of the Indo-Pacific and the Atlantic are conspecific (Buonaccorsi <span style=""font-style: italic;"">et al</span>. 1999, 2001; Collette <span style=""font-style: italic;"">et al</span>. 2006). The Indo-Pacific Blue Marlin previously was known as <span style=""font-style: italic;"">Makaira mazara</span> (Jordan and Snyder).<br/></p>"
170322,Kajikia albida,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,ISTIOPHORIDAE,Kajikia,albida,,,,,"(Poey, 1860)","This species was previously known as <span style=""font-style: italic;"">Tetrapturus albidus</span> (Collette <span style=""font-style: italic;"">et al</span>. 2006). There is a question as to whether this species is distinct from the Pacific Striped Marlin, <span style=""font-style: italic;"">Kajikia audax</span> (Graves 1998, Collette <span style=""font-style: italic;"">et al</span>. 2006, Hanner <span style=""font-style: italic;"">et al</span>. 2011).<span style=""background-color: yellow;""></span>"
170533,Cochlostoma affine,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,MEGALOMASTOMATIDAE,Cochlostoma,affine,,,,,"(Benoit, 1882)","According to Fauna Europaea, <span style=""font-style: italic;"">Cochlostoma eupleurum</span> Westerlund, 1885 is its junior synonym."
170547,Cochlostoma erika,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,MEGALOMASTOMATIDAE,Cochlostoma,erika,,,,,"(Wagner, 1906)",
170567,Cochlostoma paladilhianum,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,MEGALOMASTOMATIDAE,Cochlostoma,paladilhianum,,,,,"(Saint-Simon, 1869)",
171004,Leiostyla cassida,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,LAURIIDAE,Leiostyla,cassida,,,,,"(Lowe, 1831)",
171827,Cristaria truncata,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Cristaria,truncata,,,,,"Ðang, 1980","This species was described from the Hanoi area and northern Viet Nam. It may be only a variety of <span style=""font-style: italic;"">Cristaria plicata</span> but more work needs to be done."
171841,Lamprotula blaisei,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Lamprotula,blaisei,,,,,"Dautzenberg &amp; Fischer, 1905","<span style=""font-style: italic;""></span>Simpson (1900) listed the original combination as <span style=""font-style: italic;"">Unio</span> (<span style=""font-style: italic;"">Quadrula</span>) <span style=""font-style: italic;"">blaisei</span> Dautzenberg and H. Fischer with a type locality as Bas Luc-Nam village of Van-Ien, Tonkin. Simpson (1914) listed this as <span style=""font-style: italic;"">Quadrula</span> (<span style=""font-style: italic;"">Lamprotula</span>) <span style=""font-style: italic;"">blaisei</span> (Dautzenberg and H. Fischer,1905). Haas (1969) recognized the combination as<span style=""font-style: italic;""> Lamprotula blaisei</span> and listed the distribution as Tonkin. Dang <span style=""font-style: italic;"">et al.</span> (1980) lists this species from north Viet Nam and other data is from Cao Bang and Lang Son, Vietnam."
171842,Lamprotula contritus,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Lamprotula,contritus,,,,,"Heude, 1881","<span style=""background-color: white;"">Simpson (1900, 1914)&#160; placed <span style=""font-style: italic;"">Unio contritus</span> Heude , 1881 as a junior synonym of <span style=""font-style: italic;"">Quadrula</span> (<span style=""font-style: italic;"">Lamprotula</span>) <span style=""font-style: italic;"">caveata </span>(Heude, 1877) combining three similarly shaped taxa from China. Haas (1969) listed <span style=""background-color: white;""><span style=""font-style: italic;"">Unio contritus</span> Heude , 1881 with a type locality as streams north of Po-yang, Kien -te-hien, China   and listed     <span style=""background-color: white;"">as a junior synonym of <span style=""font-style: italic;"">Lamprotula leai</span> (Gray, 1834). Dang<span style=""font-style: italic;""> et al.</span> (1980) recognized this as a valid species from Ha Tay and Bac Thai provinces.</span>"
171844,Lamprotula liedtkei,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Lamprotula,liedtkei,,,,,"Rolle, 1904","<span style=""font-style: italic;""></span><span style=""background-color: white;""> Simpson (1914) listed this species as <span style=""font-style: italic;"">Quadrula</span> (<span style=""font-style: italic;"">Lamprotula</span>) <span style=""font-style: italic;"">liedtkei</span>&#160; (Rolle, 1904) and the type locality as Riviere Claire, Tonkin, Vietnam. Haas (1969) used this species as a junior synonym of <span style=""font-style: italic;"">Mya nodulosa </span>Wood, 1815 in the genus <span style=""font-style: italic;"">Lamprotula</span>. Dang<span style=""font-style: italic;""> et al</span>. (1980) recognized both <span style=""font-style: italic;"">L. liedtkei</span> and <span style=""font-style: italic;"">L. nodulosa</span> as separate valid species. There is taxonomic uncertainty about if this an distinct species or a synonym<span style=""font-style: italic;""> Lamprotula nodulosa </span>(Wood) (Hass 1969)."
